uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit
1324,1,jungguyeongdogu_junggu,donggwangdongjei1tu,1,0,0,0,Busan_1,142819,52241,29488,FALSE,p,FALSE,FALSE,Busan_1
1306,1,jungguyeongdogu_yeongdogu,prevote_in,0,1,0,0,Busan_1,142819,39070,17919,TRUE,p,FALSE,FALSE,Busan_1
1316,1,jungguyeongdogu_junggu,abroad,0,0,1,0,Busan_1,142,50,8,FALSE,d,TRUE,FALSE,Busan_1
1420,1,haeundaegugab,jwajei4dongjei1tu,1,0,0,0,Busan_10,190271,82876,53534,FALSE,p,FALSE,FALSE,Busan_10
1404,1,haeundaegugab,prevote_in,0,1,0,0,Busan_10,190271,49689,25361,TRUE,p,FALSE,FALSE,Busan_10
1367,1,haeundaegugab,abroad,0,0,1,0,Busan_10,926,210,76,FALSE,d,TRUE,FALSE,Busan_10
1493,1,haeundaegueul,bansongjei2dongjei7tu,1,0,0,0,Busan_11,154228,64098,36711,FALSE,p,FALSE,FALSE,Busan_11
1471,1,haeundaegueul,prevote_in,0,1,0,0,Busan_11,154228,37735,17153,TRUE,p,FALSE,FALSE,Busan_11
1445,1,haeundaegueul,abroad,0,0,1,0,Busan_11,402,108,34,FALSE,d,TRUE,FALSE,Busan_11
873,1,sahagugab,hadanjei2dongjei3tu,1,0,0,0,Busan_12,119941,50464,23013,FALSE,p,FALSE,FALSE,Busan_12
830,1,sahagugab,prevote_in,0,1,0,0,Busan_12,119941,29149,16772,TRUE,p,FALSE,FALSE,Busan_12
827,1,sahagugab,abroad,0,0,1,0,Busan_12,322,104,81,FALSE,d,TRUE,FALSE,Busan_12
942,1,sahagueul,gamcheonjei1dongjei2tu,1,0,0,0,Busan_13,156809,65160,40900,FALSE,p,FALSE,FALSE,Busan_13
887,1,sahagueul,prevote_in,0,1,0,0,Busan_13,156809,35156,18111,TRUE,p,FALSE,FALSE,Busan_13
884,1,sahagueul,abroad,0,0,1,0,Busan_13,357,102,30,FALSE,d,TRUE,FALSE,Busan_13
66,1,geumjeonggu,jangjeonjei2dongjei4tu,1,0,0,0,Busan_14,209341,85817,50465,FALSE,p,FALSE,FALSE,Busan_14
93,1,geumjeonggu,prevote_in,0,1,0,0,Busan_14,209341,56154,26537,TRUE,p,FALSE,FALSE,Busan_14
15,1,geumjeonggu,abroad,0,0,1,0,Busan_14,737,200,45,FALSE,d,TRUE,FALSE,Busan_14
1163,1,yeonjeigu,geojeijei1dongjei1tu,1,0,0,0,Busan_15,181639,79983,44390,FALSE,p,FALSE,FALSE,Busan_15
1212,1,yeonjeigu,prevote_in,0,1,0,0,Busan_15,181639,46726,20206,TRUE,p,FALSE,FALSE,Busan_15
1159,1,yeonjeigu,abroad,0,0,1,0,Busan_15,509,153,43,FALSE,d,TRUE,FALSE,Busan_15
1104,1,suyeonggu,suyeongdongjei1tu,1,0,0,0,Busan_16,156454,63834,38826,FALSE,p,FALSE,FALSE,Busan_16
1136,1,suyeonggu,prevote_in,0,1,0,0,Busan_16,156454,39612,19084,TRUE,p,FALSE,FALSE,Busan_16
1089,1,suyeonggu,abroad,0,0,1,0,Busan_16,654,167,44,FALSE,d,TRUE,FALSE,Busan_16
778,1,sasanggu,gamjeondongjei2tu,1,0,0,0,Busan_17,191230,78255,42770,FALSE,p,FALSE,FALSE,Busan_17
734,1,sasanggu,prevote_out,0,1,0,0,Busan_17,191230,49123,23546,TRUE,d,FALSE,FALSE,Busan_17
735,1,sasanggu,abroad,0,0,1,0,Busan_17,421,134,36,FALSE,d,TRUE,FALSE,Busan_17
145,1,gijanggun,ilgwangmyeonjei1tu,1,0,0,0,Busan_18,133938,59050,30877,FALSE,p,FALSE,FALSE,Busan_18
116,1,gijanggun,prevote_out,0,1,0,0,Busan_18,133938,26771,11739,TRUE,d,FALSE,FALSE,Busan_18
117,1,gijanggun,abroad,0,0,1,0,Busan_18,354,71,17,FALSE,d,TRUE,FALSE,Busan_18
967,1,seogudonggu_donggu,choryangjei2dongjei1tu,1,0,0,0,Busan_2,177047,65286,39571,FALSE,p,FALSE,FALSE,Busan_2
1048,1,seogudonggu_seogu,prevote_in,0,1,0,0,Busan_2,177047,48521,24247,TRUE,p,FALSE,FALSE,Busan_2
959,1,seogudonggu_donggu,abroad,0,0,1,0,Busan_2,209,57,12,FALSE,d,TRUE,FALSE,Busan_2
444,1,busanjingugab,buamjei1dongjei3tu,1,0,0,0,Busan_3,156429,65230,34492,FALSE,p,FALSE,FALSE,Busan_3
461,1,busanjingugab,prevote_in,0,1,0,0,Busan_3,156429,41873,17515,TRUE,p,FALSE,FALSE,Busan_3
405,1,busanjingugab,abroad,0,0,1,0,Busan_3,410,147,30,FALSE,d,TRUE,FALSE,Busan_3
488,1,busanjingueul,jeonpojei1dongjei4tu,1,0,0,0,Busan_4,158302,61382,36685,FALSE,p,FALSE,FALSE,Busan_4
516,1,busanjingueul,prevote_in,0,1,0,0,Busan_4,158302,39824,19042,TRUE,p,FALSE,FALSE,Busan_4
476,1,busanjingueul,abroad,0,0,1,0,Busan_4,358,98,25,FALSE,d,TRUE,FALSE,Busan_4
377,1,dongraegu,anragjei2dongjei1tu,1,0,0,0,Busan_5,231808,100010,56432,FALSE,p,FALSE,FALSE,Busan_5
331,1,dongraegu,prevote_in,0,1,0,0,Busan_5,231808,57364,25224,TRUE,p,FALSE,FALSE,Busan_5
307,1,dongraegu,abroad,0,0,1,0,Busan_5,787,205,63,FALSE,d,TRUE,FALSE,Busan_5
237,1,namgugab,munhyeonjei4dongjei1tu,1,0,0,0,Busan_6,120116,48598,28271,FALSE,p,FALSE,FALSE,Busan_6
209,1,namgugab,prevote_in,0,1,0,0,Busan_6,120116,33061,15516,TRUE,p,FALSE,FALSE,Busan_6
183,1,namgugab,abroad,0,0,1,0,Busan_6,330,105,18,FALSE,d,TRUE,FALSE,Busan_6
275,1,namgueul,yonghojei1dongjei5tu,1,0,0,0,Busan_7,114380,49525,26496,FALSE,p,FALSE,FALSE,Busan_7
251,1,namgueul,prevote_out,0,1,0,0,Busan_7,114380,31536,13035,TRUE,d,FALSE,FALSE,Busan_7
252,1,namgueul,abroad,0,0,1,0,Busan_7,456,116,35,FALSE,d,TRUE,FALSE,Busan_7
569,1,buggugangseogugab,gupojei3dongjei3tu,1,0,0,0,Busan_8,141586,58457,27386,FALSE,p,FALSE,FALSE,Busan_8
586,1,buggugangseogugab,prevote_in,0,1,0,0,Busan_8,141586,37785,21282,TRUE,p,FALSE,FALSE,Busan_8
548,1,buggugangseogugab,abroad,0,0,1,0,Busan_8,266,87,63,FALSE,d,TRUE,FALSE,Busan_8
720,1,buggugangseogueul,myeongji2dongjei2tu,1,0,0,0,Busan_9,211515,98784,54896,FALSE,p,FALSE,FALSE,Busan_9
624,1,buggugangseogueul,prevote_out,0,1,0,0,Busan_9,211515,47244,21104,TRUE,d,FALSE,FALSE,Busan_9
625,1,buggugangseogueul,abroad,0,0,1,0,Busan_9,585,137,51,FALSE,d,TRUE,FALSE,Busan_9
1965,1514,cheongjusisangdanggu,seongandongjei2tu,1,0,0,0,Chung-cheong bukdo_1,150864,59312,25784,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_1
2021,1514,cheongjusisangdanggu,prevote_in,0,1,0,0,Chung-cheong bukdo_1,150864,37651,19854,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_1
1956,1514,cheongjusisangdanggu,abroad,0,0,1,0,Chung-cheong bukdo_1,309,82,66,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_1
2109,1514,cheongjusiseowueongu,seonghwaÂ·gaesinÂ·jugrimdongjei4tu,1,0,0,0,Chung-cheong bukdo_2,169010,65240,29605,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_2
2093,1514,cheongjusiseowueongu,prevote_in,0,1,0,0,Chung-cheong bukdo_2,169010,43212,24459,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_2
2041,1514,cheongjusiseowueongu,abroad,0,0,1,0,Chung-cheong bukdo_2,378,82,51,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_2
2261,1514,cheongjusiheungdeoggu,gagyeongdongjei7tu,1,0,0,0,Chung-cheong bukdo_3,217737,84080,43695,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_3
2247,1514,cheongjusiheungdeoggu,prevote_in,0,1,0,0,Chung-cheong bukdo_3,217737,49992,31111,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_3
2202,1514,cheongjusiheungdeoggu,abroad,0,0,1,0,Chung-cheong bukdo_3,474,135,92,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_3
2141,1514,cheongjusicheongwueongu,ochangeubjei6tu,1,0,0,0,Chung-cheong bukdo_4,157881,64683,32472,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_4
2191,1514,cheongjusicheongwueongu,prevote_in,0,1,0,0,Chung-cheong bukdo_4,157881,31508,18483,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_4
2123,1514,cheongjusicheongwueongu,abroad,0,0,1,0,Chung-cheong bukdo_4,290,87,63,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_4
2377,1514,chungjusi,yongsandongjei4tu,1,0,0,0,Chung-cheong bukdo_5,180263,63390,35691,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_5
2424,1514,chungjusi,prevote_in,0,1,0,0,Chung-cheong bukdo_5,180263,50709,23955,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_5
2299,1514,chungjusi,abroad,0,0,1,0,Chung-cheong bukdo_5,379,80,18,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_5
1740,1514,jeicheonsidanyanggun_danyanggun,jeogseongmyeonjei1tu,1,0,0,0,Chung-cheong bukdo_6,142109,52234,30544,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_6
1753,1514,jeicheonsidanyanggun_jeicheonsi,prevote_in,0,1,0,0,Chung-cheong bukdo_6,142109,42290,20610,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_6
1707,1514,jeicheonsidanyanggun_danyanggun,abroad,0,0,1,0,Chung-cheong bukdo_6,48,17,3,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_6
1639,1514,boeungunogcheongunyeongdonggungwaisangun_yeongdonggun,sangchonmyeontupyoso,1,0,0,0,Chung-cheong bukdo_7,152651,50716,31146,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_7
1604,1514,boeungunogcheongunyeongdonggungwaisangun_boeungun,prevote_in,0,1,0,0,Chung-cheong bukdo_7,152651,52039,27327,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_7
1614,1514,boeungunogcheongunyeongdonggungwaisangun_yeongdonggun,abroad,0,0,1,0,Chung-cheong bukdo_7,63,16,7,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_7
1918,1514,jeungpyeonggunjincheonguneumseonggun_jincheongun,jincheoneubjei8tu,1,0,0,0,Chung-cheong bukdo_8,180488,57284,29698,FALSE,p,FALSE,FALSE,Chung-cheong bukdo_8
1890,1514,jeungpyeonggunjincheonguneumseonggun_jeungpyeonggun,prevote_in,0,1,0,0,Chung-cheong bukdo_8,180488,49420,26201,TRUE,p,FALSE,FALSE,Chung-cheong bukdo_8
1907,1514,jeungpyeonggunjincheonguneumseonggun_jincheongun,abroad,0,0,1,0,Chung-cheong bukdo_8,111,30,24,FALSE,d,TRUE,FALSE,Chung-cheong bukdo_8
3411,2427,cheonansigab,ilbongdongjei5tu,1,0,0,0,Chungcheongnam-do_1,167791,58939,26732,FALSE,p,FALSE,FALSE,Chungcheongnam-do_1
3378,2427,cheonansigab,prevote_in,0,1,0,0,Chungcheongnam-do_1,167791,34198,19214,TRUE,p,FALSE,FALSE,Chungcheongnam-do_1
3346,2427,cheonansigab,abroad,0,0,1,0,Chungcheongnam-do_1,344,78,53,FALSE,d,TRUE,FALSE,Chungcheongnam-do_1
