uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit,eday
1271,1,jungguyeongdogu_yeongdogu,sinseondongjei3tu,1,0,0,0,Busan_1,142819,52241,20915,FALSE,p,FALSE,FALSE,Busan_1,TRUE
1353,1,jungguyeongdogu_junggu,prevote_in,0,1,0,0,Busan_1,142819,39070,20047,TRUE,p,FALSE,FALSE,Busan_1,FALSE
1251,1,jungguyeongdogu_yeongdogu,abroad,0,0,1,0,Busan_1,306,98,79,FALSE,d,TRUE,FALSE,Busan_1,FALSE
1400,1,haeundaegugab,jwajei1dongjei2tu,1,0,0,0,Busan_10,190271,82876,26536,FALSE,p,FALSE,FALSE,Busan_10,TRUE
1398,1,haeundaegugab,prevote_in,0,1,0,0,Busan_10,190271,49689,22971,TRUE,p,FALSE,FALSE,Busan_10,FALSE
1367,1,haeundaegugab,abroad,0,0,1,0,Busan_10,926,210,126,FALSE,d,TRUE,FALSE,Busan_10,FALSE
1472,1,haeundaegueul,banyeojei4dongjei1tu,1,0,0,0,Busan_11,154228,64098,26539,FALSE,p,FALSE,FALSE,Busan_11,TRUE
1448,1,haeundaegueul,prevote_in,0,1,0,0,Busan_11,154228,37735,20184,TRUE,p,FALSE,FALSE,Busan_11,FALSE
1445,1,haeundaegueul,abroad,0,0,1,0,Busan_11,402,108,74,FALSE,d,TRUE,FALSE,Busan_11,FALSE
835,1,sahagugab,gwaijeongjei1dongjei5tu,1,0,0,0,Busan_12,119941,50464,23013,FALSE,p,FALSE,FALSE,Busan_12,TRUE
837,1,sahagugab,prevote_in,0,1,0,0,Busan_12,119941,29149,16772,TRUE,p,FALSE,FALSE,Busan_12,FALSE
827,1,sahagugab,abroad,0,0,1,0,Busan_12,322,104,81,FALSE,d,TRUE,FALSE,Busan_12,FALSE
916,1,sahagueul,dadaejei1dongjei4tu,1,0,0,0,Busan_13,156809,65160,22583,FALSE,p,FALSE,FALSE,Busan_13,TRUE
912,1,sahagueul,prevote_in,0,1,0,0,Busan_13,156809,35156,16291,TRUE,p,FALSE,FALSE,Busan_13,FALSE
884,1,sahagueul,abroad,0,0,1,0,Busan_13,357,102,70,FALSE,d,TRUE,FALSE,Busan_13,FALSE
67,1,geumjeonggu,jangjeonjei2dongjei5tu,1,0,0,0,Busan_14,209341,85817,30488,FALSE,p,FALSE,FALSE,Busan_14,TRUE
14,1,geumjeonggu,prevote_out,0,1,0,0,Busan_14,209341,56154,26826,TRUE,d,FALSE,FALSE,Busan_14,FALSE
15,1,geumjeonggu,abroad,0,0,1,0,Busan_14,737,200,143,FALSE,d,TRUE,FALSE,Busan_14,FALSE
1191,1,yeonjeigu,yeonsanjei1dongjei4tu,1,0,0,0,Busan_15,181639,79983,34486,FALSE,p,FALSE,FALSE,Busan_15,TRUE
1182,1,yeonjeigu,prevote_in,0,1,0,0,Busan_15,181639,46726,25975,TRUE,p,FALSE,FALSE,Busan_15,FALSE
1159,1,yeonjeigu,abroad,0,0,1,0,Busan_15,509,153,109,FALSE,d,TRUE,FALSE,Busan_15,FALSE
1148,1,suyeonggu,minragdongjei2tu,1,0,0,0,Busan_16,156454,63834,22946,FALSE,p,FALSE,FALSE,Busan_16,TRUE
1123,1,suyeonggu,prevote_in,0,1,0,0,Busan_16,156454,39612,19422,TRUE,p,FALSE,FALSE,Busan_16,FALSE
1089,1,suyeonggu,abroad,0,0,1,0,Busan_16,654,167,121,FALSE,d,TRUE,FALSE,Busan_16,FALSE
792,1,sasanggu,juryeijei2dongjei4tu,1,0,0,0,Busan_17,191230,78255,34193,FALSE,p,FALSE,FALSE,Busan_17,TRUE
734,1,sasanggu,prevote_out,0,1,0,0,Busan_17,191230,49123,25054,TRUE,d,FALSE,FALSE,Busan_17,FALSE
735,1,sasanggu,abroad,0,0,1,0,Busan_17,421,134,98,FALSE,d,TRUE,FALSE,Busan_17,FALSE
150,1,gijanggun,ilgwangmyeonjei6tu,1,0,0,0,Busan_18,133938,59050,24480,FALSE,p,FALSE,FALSE,Busan_18,TRUE
120,1,gijanggun,prevote_in,0,1,0,0,Busan_18,133938,26771,13619,TRUE,p,FALSE,FALSE,Busan_18,FALSE
117,1,gijanggun,abroad,0,0,1,0,Busan_18,354,71,54,FALSE,d,TRUE,FALSE,Busan_18,FALSE
1041,1,seogudonggu_seogu,seodaesinjei3dongjei2tu,1,0,0,0,Busan_2,177047,65286,24413,FALSE,p,FALSE,FALSE,Busan_2,TRUE
1000,1,seogudonggu_donggu,prevote_in,0,1,0,0,Busan_2,177047,48521,23582,TRUE,p,FALSE,FALSE,Busan_2,FALSE
1017,1,seogudonggu_seogu,abroad,0,0,1,0,Busan_2,253,80,53,FALSE,d,TRUE,FALSE,Busan_2,FALSE
424,1,busanjingugab,choeubdongjei3tu,1,0,0,0,Busan_3,156429,65230,26149,FALSE,p,FALSE,FALSE,Busan_3,TRUE
453,1,busanjingugab,prevote_in,0,1,0,0,Busan_3,156429,41873,22027,TRUE,p,FALSE,FALSE,Busan_3,FALSE
405,1,busanjingugab,abroad,0,0,1,0,Busan_3,410,147,111,FALSE,d,TRUE,FALSE,Busan_3,FALSE
540,1,busanjingueul,beomcheonjei2dongjei5tu,1,0,0,0,Busan_4,158302,61382,23871,FALSE,p,FALSE,FALSE,Busan_4,TRUE
484,1,busanjingueul,prevote_in,0,1,0,0,Busan_4,158302,39824,20332,TRUE,p,FALSE,FALSE,Busan_4,FALSE
476,1,busanjingueul,abroad,0,0,1,0,Busan_4,358,98,73,FALSE,d,TRUE,FALSE,Busan_4,FALSE
380,1,dongraegu,anragjei2dongjei4tu,1,0,0,0,Busan_5,231808,100010,38021,FALSE,p,FALSE,FALSE,Busan_5,TRUE
364,1,dongraegu,prevote_in,0,1,0,0,Busan_5,231808,57364,29275,TRUE,p,FALSE,FALSE,Busan_5,FALSE
